match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner,Player_1,Player_2,Pl_1_hand,Pl_2_hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best_of,Final_TB?,Charted_by,High_Leverage,focal_is_p1,Focal_Player,Opponent_Player,Point_Won,Next_Point_Won,Focal_Ranking,Opponent_Ranking,Ranking_Diff
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,32,0,0,1,4,30-15,6.0,True,2,6r19f3s3f3b1r#,,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,33,0,0,1,4,30-30,6.0,True,2,6n,5b29f1w#,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,34,0,0,1,4,30-40,6.0,True,2,4d,6f28f2f3b3d#,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,35,0,0,2,4,0-0,7.0,True,1,6d,5b3n@,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,36,0,0,2,4,15-0,7.0,True,1,4d,4n,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,37,0,0,2,4,15-15,7.0,True,1,4f1d#,,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,38,0,0,2,4,30-15,7.0,True,1,6w,4b17f1f1f2d#,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,39,0,0,2,4,30-30,7.0,True,1,5b1d#,,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,40,0,0,2,4,40-30,7.0,True,1,4n,5f28f2d@,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,41,0,0,2,4,40-40,7.0,True,1,6n,6b28b3b1*,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,42,0,0,2,4,40-AD,7.0,True,1,4x,4b28f3n@,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,43,0,0,2,5,0-0,8.0,True,2,4r28f2b3b2b3b2n@,,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,44,0,0,2,5,0-15,8.0,True,2,4x,4b37b3b3b2b3d#,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,45,0,0,2,5,15-15,8.0,True,2,6d,4n,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
